number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y;
30 m² ;; Apartment;Rue de Lausanne; 1202 Genève;Spacious balcony with view;Modern kitchen amenities;Prime location in city center;CHF 3,240.-;CHF 1,296 / m² / year;
2 rooms ; 85 m² ; Apartment;Quai Des Arénières; 1205 Genève;Stunning lake views;Modern kitchen design;Spacious balcony retreat;CHF 5,000.-;CHF 706 / m² / year;
4.5 rooms ; 135 m² ; Apartment;Avenue Du Bouchet; 1202 Genève;Spacious terrace with views;Modern kitchen with high-end finishes;Secure building with concierge;CHF 3,900.-;CHF 347 / m² / year;
5 rooms ;; Apartment;;1203 Genève;Spacious 120 m2 layout;Inviting balcony space;Located in Charmilles area;CHF 2,979.-;—;
3 rooms ;; Apartment;;1202 Genève;Spacious, bright living room;Close to shops and schools;Convenient public transport access;CHF 2,640.-;—;
5 rooms ; 115 m² ; Apartment;;1209 Genève;Spacious 115 m2 layout;Equipped modern kitchen;Sunny balcony for relaxation;CHF 3,400.-;CHF 355 / m² / year;
3 rooms ;; Apartment;;1202 Genève;Bright living room space;Cozy balcony for relaxation;Convenient Servette location;CHF 1,870.-;—;
1.5 rooms ;; Apartment;;1205 Genève;Bright living space;Convenient location;Includes a cellar;CHF 893.-;—;
3.5 rooms ; 64 m² ; Apartment;;1205 Genève;Bright living room;Equipped kitchen;Versatile half-room;CHF 2,350.-;CHF 441 / m² / year;
5 rooms ; 125 m² ; Apartment;Avenue De Châtelaine; 1203 Genève;Spacious 125 m² layout;Inviting balcony space;Convenient visitor WC;CHF 3,900.-;CHF 374 / m² / year;
5.5 rooms ; 123 m² ; Apartment;Avenue De La Gare-Des-Eaux-Vives; 1207 Genève;Stunning lake views;Modern open-plan design;Prime location near transport;CHF 4,950.-;CHF 483 / m² / year;
3 rooms ; 58 m² ; Apartment;;1206 Genève;Equipped kitchen included;Bright living area;Convenient cellar storage;CHF 2,210.-;CHF 457 / m² / year;
4 rooms ; 90 m² ; Apartment;;1203 Genève;Spacious 90 m2 layout;Inviting balcony space;Located in Charmilles area;CHF 3,000.-;CHF 400 / m² / year;
1 room ; 90 m² ; Apartment;Rue Jean-Robert- Chouet; 1202 Genève;Bright living area;Modern kitchen design;Close to public transport;CHF 1,250.-;CHF 167 / m² / year;
6 rooms ;; Apartment;;1206 Genève;Spacious 140 m² layout;Equipped modern kitchen;Bright living area;CHF 4,700.-;—;
5 rooms ;; Apartment;;1206 Genève;Spacious entry hall;Three sunny balconies;Equipped modern kitchen;CHF 3,255.-;—;
17 m² ;; Apartment;Rue Du Rhône 57; 1204 Genève;Exceptional lake visibility;Highly frequented tourist area;Dimensions: 17m x 1.6m;CHF 3,330.-;CHF 2,351 / m² / year;
24 m² ;; Apartment;Rue Goetz-Monin; 1205 Genève;Sunny location;Quiet environment;Near public transport;CHF 2,540.-;CHF 1,270 / m² / year;
5 rooms ; 138 m² ; Apartment;Avenue De-Budé; 1202 Genève;Luxury apartment near Geneva Airport;Two swimming pools and rooftop terrace;Balconies accessible from all rooms;CHF 5,000.-;CHF 435 / m² / year;
4 rooms ; 100 m² ; Furnished apartment;Avenue de la Forêt; 1202 Genève;Spacious balcony;Fully equipped kitchen;Shared laundry;CHF 2,950.-;CHF 354 / m² / year;
2 rooms ;; Apartment;Rue Du Prieuré; 1202 Genève;Central location, near station and lake;Private balcony;Cellar included;CHF 1,350.-;—;
4 rooms ; 135 m² ; Penthouse;Rue De Saint-Jean 32a; 1203 Genève;Spacious, bright living room;Open, equipped kitchen;Stunning Rhône views;CHF 4,990.-;CHF 444 / m² / year;
3 rooms ; 65 m² ; Apartment;;1204 Genève;Charming old town apartment;Completely renovated;Stunning panoramic view;CHF 3,349.-;CHF 618 / m² / year;
4 rooms ; 60 m² ; Apartment;Route Des Acacias 20; 1227 Les Acacias;City center, near shops;Bright duplex, 60m2;Balcony and fitted kitchen;CHF 2,150.-;CHF 430 / m² / year;
4 rooms ; 64 m² ; Apartment;;1203 Genève;Very pleasant layout;Bright and cozy rooms;Washing machine connection;CHF 2,400.-;CHF 450 / m² / year;
4 rooms ; 124 m² ; Apartment;;1206 Genève;Equipped kitchen;Two large balconies;Indoor pool;CHF 3,635.-;CHF 352 / m² / year;
7 rooms ; 178 m² ; Apartment;Rue Du Rhône 57; 1204 Genève;Stunning lake view;Recently renovated;Prime location;CHF 8,385.-;CHF 565 / m² / year;
2.5 rooms ; 50 m² ; Furnished apartment;Rue Beau-Site 6; 1203 Genève;Furnished and modern;Bright living spaces;Bathroom with laundry;CHF 2,480.-;CHF 595 / m² / year;
3 rooms ; 70 m² ; Apartment;;1205 Genève;Heart of Geneva, perfect location;Bedroom with ensuite bathroom;Bright open-plan kitchen;CHF 3,200.-;CHF 549 / m² / year;
4 rooms ; 105 m² ; Apartment;Chemin De-Roches 5; 1208 Genève;High ceilings & character;Modern fitted kitchen;Near public transport;CHF 3,970.-;CHF 454 / m² / year;
6 rooms ; 300 m² ; Apartment;;1201 Genève;Stunning Jet d'Eau view;High-end finishes;Central location;CHF 8,000.-;CHF 320 / m² / year;
45 m² ;; Apartment;Rue De-Monthoux 36; 1201 Genève;Fully furnished;Air conditioning;Near university;CHF 1,250.-;CHF 333 / m² / year;
3 rooms ; 65 m² ; Apartment;Rue Daubin 4; 1203 Genève;Elegant furnished apartment;Stunning city view;Outdoor parking space;CHF 1,870.-;CHF 345 / m² / year;
5 rooms ; 120 m² ; Apartment;Chemin De La Rochette 9; 1202 Genève;Spacious and bright;Balcony access from all rooms;Fully equipped kitchen;CHF 4,267.-;CHF 426 / m² / year;
4 rooms ;; Apartment;;1206 Genève;Large 320m2 garden;Quiet residential area;Near shops & transport;CHF 4,440.-;—;
1.5 rooms ; 25 m² ; Apartment;Rue Etienne- Dumont 5; 1204 Genève;Historic Old Town location;Charming cobblestone street view;Modern amenities;CHF 1,835.-;CHF 881 / m² / year;
2 rooms ;; Apartment;Route De Malagnou 34; 1208 Genève;Sunny balcony;Quiet area;Near city center;CHF 2,700.-;—;
2 rooms ; 32 m² ; Apartment;Rue Zurlinden; 1207 Genève;Near Lake Geneva;Private balcony;Secure building with elevator;CHF 1,650.-;CHF 619 / m² / year;
4 rooms ; 123 m² ; Apartment;;1205 Genève;Panoramic view;Sought-after area;Near city center;CHF 4,620.-;CHF 451 / m² / year;
6 rooms ; 130 m² ; Apartment;;1206 Genève;Sought-after Geneva district;3 balconies with a view;Modern fitted kitchen;CHF 4,152.-;CHF 383 / m² / year;
5.5 rooms ; 148 m² ; Apartment;Place Edouard- Claparède 1; 1205 Genève;Near Parc Bertrand;Fully renovated;Double living room;CHF 4,980.-;CHF 404 / m² / year;
1.5 rooms ; 24 m² ; Apartment;Rue De La Servette 76; 1202 Genève;Charming studio apartment;Fully equipped kitchen;Lively neighborhood;CHF 1,840.-;CHF 920 / m² / year;
1.5 rooms ; 24 m² ; Apartment;Rue Lamartine 24; 1203 Genève;Servette neighborhood;Secure entry;Elevator, laundry room;CHF 1,300.-;CHF 650 / m² / year;
45 rooms ; 93 m² ; Apartment;;1205 Genève;Bright and spacious layout;Quiet and central location;Close to public transport;CHF 2,925.-;CHF 377 / m² / year;
3 rooms ; 49 m² ; Apartment;Rue du 31 Décembre 26; 1207 Genève;Heart of Eaux-Vives;Close to public transport;Near Lake Geneva;CHF 2,280.-;CHF 558 / m² / year;
5.5 rooms ; 137 m² ; Apartment;Route de Chêne; 1208 Genève;Close to parks and lake;International school nearby;Tram stop just 20m away;CHF 4,750.-;CHF 416 / m² / year;
6.5 rooms ; 170 m² ; Apartment;Avenue Alfred- Bertrand 3; 1206 Genève;Spacious entrance hall;Double living room with balcony;Fully equipped modern kitchen;CHF 7,070.-;CHF 499 / m² / year;
1.5 rooms ; 30 m² ; Apartment;;1204 Genève;Equipped kitchen;Bright living space;Elevator access;CHF 1,742.-;CHF 697 / m² / year;
4.5 rooms ; 88 m² ; Apartment;Chemin De La Chevillarde 44; 1208 Genève;Modern equipped kitchen;Two sunny balconies;Quiet green neighborhood;CHF 3,514.-;CHF 479 / m² / year;
1 room ; 26 m² ; Apartment;Quai Du Seujet; 1201 Genève;Stunning Rhône views;Bright communal spaces;Modern co-living concept;CHF 1,880.-;CHF 868 / m² / year;
4 rooms ; 100 m² ; Apartment;;1202 Genève;Central Geneva location;Equipped kitchen;Balcony & parking;CHF 2,950.-;CHF 354 / m² / year;
3 rooms ; 127 m² ; Furnished apartment;Rue Des Granges; 1204 Genève;Spacious private terrace;Elegant living area;Fully furnished and equipped;CHF 5,400.-;CHF 510 / m² / year;
5.5 rooms ; 96 m² ; Apartment;Place Du Cirque 3; 1204 Genève;Central location near amenities;Spacious equipped kitchen;High ceilings in living room;CHF 1,440.-;CHF 180 / m² / year;
3 rooms ; 49 m² ; Apartment;Rue Pradier; 1201 Genève;Close to Cornavin station;Modern equipped kitchen;Nearby shopping centers;CHF 2,260.-;CHF 553 / m² / year;
4.5 rooms ; 89 m² ; Apartment;Quai Du Cheval-Blanc 14; 1227 Les Acacias;Renovated with modern decor;Spacious living with balcony;Fully equipped kitchen;CHF 3,500.-;CHF 472 / m² / year;
5 rooms ; 100 m² ; Apartment;;1204 Genève;Quiet courtyard location;Bright spacious living area;Secure entrance with charm;CHF 4,250.-;CHF 510 / m² / year;
6.5 rooms ; 141 m² ; Apartment;Rue Liotard; 1202 Genève;Open-plan modern kitchen;Master bedroom with jacuzzi;Close to public transport;CHF 4,600.-;CHF 391 / m² / year;
2.5 rooms ; 42 m² ; Apartment;Rue Daubin 35; 1203 Genève;42m2 apartment;Equipped kitchen with balcony;Quiet area, near public transport;CHF 1,580.-;CHF 451 / m² / year;
5 rooms ; 100 m² ; Apartment;Rue Chausse-Coq 10; 1204 Genève;Fully equipped kitchen;Bright and spacious living room;Convenient location near amenities;CHF 4,100.-;CHF 492 / m² / year;
1.5 rooms ; 36 m² ; Furnished apartment;;1201 Genève;Prime location by the lake;Bright and cozy living space;Fully equipped modern kitchen;CHF 2,070.-;CHF 690 / m² / year;
4.5 rooms ; 110 m² ; Apartment;;1207 Genève;Steps from Lake Geneva;Spacious living areas;Central Eaux-Vives location;CHF 4,500.-;CHF 491 / m² / year;
2 rooms ; 45 m² ; Apartment;;1207 Genève;Steps from Lake Geneva;Fully equipped kitchen;Bright and contemporary design;CHF 2,400.-;CHF 640 / m² / year;
75 m² ;; Furnished apartment;;1204 Genève;Heart of Geneva;Decorative fireplace;Equipped kitchenette;CHF 2,800.-;CHF 448 / m² / year;
4 rooms ; 87 m² ; Apartment;Chemin Des Tulipiers; 1208 Genève;Spacious balcony;Fully equipped kitchen;Quiet neighborhood;CHF 2,895.-;CHF 399 / m² / year;
3 rooms ; 78 m² ; Apartment;Parc Du Château-Banquet 26; 1202 Genève;Close to the lake;Spacious 78m2 area;Residential building charm;CHF 2,860.-;CHF 440 / m² / year;
6 rooms ; 190 m² ; Apartment;Boulevard Helvétique 4; 1205 Genève;Near Old Town;2 balconies;herringbone parquet;CHF 7,100.-;CHF 448 / m² / year;
5 rooms ; 100 m² ; Apartment;Rue De Hesse 4; 1204 Genève;Historic building charm;High ceilings & moldings;Spacious living area;CHF 4,650.-;CHF 558 / m² / year;
4 rooms ; 74 m² ; Apartment;Rue De Lyon 25; 1201 Genève;Spacious living room;Close to public transport;Bright, airy bedrooms;CHF 2,920.-;CHF 474 / m² / year;
4 rooms ;; Apartment;;1201 Genève;Stunning panoramic views;Bright open living space;Prime location near amenities;CHF 4,500.-;—;
3 rooms ;; Apartment;Chemin Des Clochettes; 1206 Genève;Quiet neighborhood near park;Fully equipped semi-open kitchen;Spacious living area with balcony;CHF 2,760.-;—;
7 rooms ; 153 m² ; Apartment;Rue De Lausanne 137; 1202 Genève;Spacious living area;Quality equipped kitchen;Balcony with lake view;CHF 5,780.-;CHF 455 / m² / year;
7.5 rooms ; 191 m² ; Apartment;Boulevard Des Philosophes; 1205 Genève;Historic building charm;High ceilings & moldings;Central location amenities;CHF 7,000.-;CHF 440 / m² / year;
5 rooms ; 127 m² ; Apartment;Chemin Du Petit-Saconnex 28a; 1209 Genève;Rooftop pool access;Bright, spacious living;Quiet, safe location;CHF 5,320.-;CHF 503 / m² / year;
3.5 rooms ; 98 m² ; Stepped apartment;;1208 Genève;Panoramic terrace 182 m²;High-end kitchen included;Private rooftop pool access;CHF 4,700.-;CHF 576 / m² / year;
4 rooms ; 120 m² ; Apartment;Avenue Eugène- Pittard 9; 1206 Genève;Bright south-facing rooms;Equipped kitchen with laundry;Balcony with park views;CHF 4,600.-;CHF 460 / m² / year;
4 rooms ; 66 m² ; Apartment;Avenue Wendt; 1203 Genève;Quiet neighborhood;Modern equipped kitchen;Balcony access from living room;CHF 2,540.-;CHF 462 / m² / year;
5 rooms ; 152 m² ; Apartment;;1204 Genève;Bright living area;Modern bathrooms;Convenient storage space;CHF 5,825.-;CHF 460 / m² / year;
6 rooms ; 182 m² ; Apartment;Chemin Des Colombettes 13; 1202 Genève;Spacious with 3 balconies;Elegant living area with fireplace;Prime location near UN offices;CHF 5,800.-;CHF 382 / m² / year;
3.5 rooms ; 98 m² ; Apartment;Rue Michel- Chauvet 15; 1208 Genève;Stunning city and lake views;Spacious terrace for relaxation;Modern open kitchen design;CHF 4,700.-;CHF 576 / m² / year;
4.5 rooms ; 119 m² ; Apartment;Rue De La Confédération 6; 1204 Genève;Quiet inner courtyard view;Open fully equipped kitchen;Decorative fireplace in living room;CHF 3,900.-;CHF 393 / m² / year;
4 rooms ; 127 m² ; Apartment;Rue Des Granges 3; 1204 Genève;Spacious private terrace;Fully equipped kitchen;Heart of the Old Town;CHF 5,000.-;CHF 472 / m² / year;
6 rooms ; 116 m² ; Apartment;;1206 Genève;Spacious 116 m2 layout;Multiple sunny balconies;Legal long-term subletting;CHF 3,800.-;CHF 393 / m² / year;
3.5 rooms ;; Apartment;Chemin du Champ-d'Anier 2; 1209 Genève;Spacious entrance hall;Equipped modern kitchen;Sunny balcony for relaxation;CHF 2,650.-;—;
5 rooms ; 135 m² ; Apartment;;1201 Genève;Rooftop communal pool;Quiet leafy environment;Close to public transport;CHF 4,840.-;CHF 430 / m² / year;
7 rooms ; 163 m² ; Apartment;Route De Frontenex 41a; 1207 Genève;Open-plan modern kitchen;Master bedroom with ensuite;Indoor parking available;CHF 6,000.-;CHF 442 / m² / year;
4 rooms ;; Apartment;;1205 Genève;Elegant living space;High-end kitchen finishes;Close to public transport;CHF 4,700.-;—;
5.5 rooms ; 94 m² ; Apartment;;1208 Genève;Elegant apartment in Malagnou;Two sunny balconies;Fully equipped kitchen;CHF 4,950.-;CHF 632 / m² / year;
6 rooms ; 200 m² ; Apartment;;1206 Genève;Spacious 20 m2 terrace;Master bedroom with en suite;Close to city center & shops;CHF 7,600.-;CHF 456 / m² / year;
5 rooms ; 200 m² ; Loft;;1203 Genève;4.30m high ceilings;Private wine cellar;Access to SPA facilities;CHF 6,750.-;CHF 405 / m² / year;
5.5 rooms ; 120 m² ; Furnished apartment;;1206 Genève;Stylish furnished interior;Sunny terrace with views;Art deco building charm;CHF 5,500.-;CHF 550 / m² / year;
7 rooms ; 280 m² ; Apartment;Route de Chêne; 1208 Genève;High-end finishes;Spacious balcony;Secure building with lift;CHF 9,095.-;CHF 390 / m² / year;
5 rooms ;; Apartment;;1205 Genève;Fully equipped kitchen;Two bathrooms (shower/tub);In-house laundry;CHF 3,650.-;—;
4.5 rooms ;; Apartment;Rue Liotard; 1202 Genève;Historic building charm;Spacious living area;Private balcony retreat;CHF 3,990.-;—;
5.5 rooms ; 119 m² ; Apartment;Avenue De Miremont 13; 1206 Genève;Elegant character building;Spacious living area;Balcony with city views;CHF 4,590.-;CHF 463 / m² / year;
4.5 rooms ; 102 m² ; Apartment;Avenue De Miremont 15; 1206 Genève;Two sunny balconies;Modern equipped kitchen;Prime location in Champel;CHF 4,950.-;CHF 582 / m² / year;
5 rooms ; 161 m² ; Apartment;Chemin De La Florence; 1208 Genève;Spacious 98m² terrace;High-end secure residence;Master suite with dressing;CHF 8,030.-;CHF 599 / m² / year;
7.5 rooms ; 219 m² ; Apartment;Avenue De Champel 73; 1206 Genève;High ceilings and moldings;Spacious living areas;Balcony access from rooms;CHF 7,880.-;CHF 432 / m² / year;
3 rooms ; 43 m² ; Apartment;;1203 Genève;Spacious terrace for relaxation;Equipped modern kitchen;Close to transport links;CHF 2,490.-;CHF 695 / m² / year;
3 rooms ; 78 m² ; Apartment;Rue Etienne- Dumont 3; 1204 Genève;Spacious 78m² layout;Modern equipped kitchen;Cozy living room with fireplace;CHF 3,650.-;CHF 562 / m² / year;
5.5 rooms ; 120 m² ; Apartment;Rue De L' Aubépine 3; 1205 Genève;Strategic location;Fully renovated;Balcony access;CHF 3,900.-;CHF 390 / m² / year;
6 rooms ; 130 m² ; Apartment;;1206 Genève;Three sunny balconies;Master bedroom with view;Fully equipped kitchen;CHF 4,517.-;CHF 417 / m² / year;
3 rooms ; 80 m² ; Apartment;;1203 Genève;Central yet quiet location;Private covered parking;Includes utilities and internet;CHF 2,160.-;CHF 324 / m² / year;
10 rooms ; 314 m² ; Apartment;;1205 Genève;Elegant inner patio;High-end finishes;Private parking with charger;CHF 10,500.-;CHF 401 / m² / year;
5.5 rooms ; 102 m² ; Apartment;Parc Du Château-Banquet 8; 1202 Genève;Equipped kitchen;Balcony with view;Close to public transport;CHF 4,540.-;CHF 534 / m² / year;
5 rooms ; 150 m² ; Penthouse;;1206 Genève;Panoramic terraces;Direct elevator access;Spacious, bright living area;CHF 7,500.-;CHF 600 / m² / year;
6 rooms ;; Apartment;Rue De La Terrassière 43; 1207 Genève;Spacious living area;Balcony access;Equipped kitchen;CHF 4,280.-;—;
5 rooms ; 115 m² ; Apartment;Avenue De Champel 41; 1206 Genève;Champel heart location;Near Léman Express;Equipped kitchen & balcony;CHF 3,700.-;CHF 386 / m² / year;
9 rooms ; 232 m² ; Apartment;;1207 Genève;Historic 19th-century charm;Modern kitchen with dining;Spacious balcony access;CHF 7,740.-;CHF 400 / m² / year;
3 rooms ;; Apartment;Boulevard De Saint-Georges 62; 1205 Genève;Equipped modern kitchen;Built-in wardrobes;Close to amenities;CHF 2,295.-;—;
3 rooms ; 53 m² ; Apartment;;1205 Genève;Tastefully furnished;Bright living room;Equipped kitchen;CHF 3,180.-;CHF 720 / m² / year;
8 rooms ;; Penthouse;Chemin De-Normandie 4; 1206 Genève;Exceptional rooftop terrace;Spacious living with fireplace;Close to public transport;CHF 7,720.-;—;
6.5 rooms ; 162 m² ; Apartment;;1202 Genève;Bright and spacious living;Close to city center;Balcony with courtyard view;CHF 6,717.-;CHF 498 / m² / year;
4.5 rooms ; 85 m² ; Apartment;Rue des Allobroges 35; 1227 Les Acacias;Fully renovated interior;Open kitchen with island;Close to public transport;CHF 3,590.-;CHF 507 / m² / year;
4 rooms ; 110 m² ; Furnished apartment;;1208 Genève;Recently renovated;Private garage included;Close to parks and shops;CHF 5,400.-;CHF 589 / m² / year;
6 rooms ; 290 m² ; Apartment;Rue De La Pélisserie 18; 1204 Genève;Private elevator access;Spacious living area;Master suite with dressing;CHF 9,130.-;CHF 378 / m² / year;
6.5 rooms ;; Apartment;Chemin Des Coudriers 48; 1209 Genève;Modern equipped kitchen;Balcony overlooking garden;Quiet green surroundings;CHF 5,000.-;—;
7 rooms ; 216 m² ; Apartment;;1208 Genève;Bright living room with fireplace;Two sunny terraces;Motorized blinds & AC;CHF 8,100.-;CHF 450 / m² / year;
5.5 rooms ; 180 m² ; Apartment;;1206 Genève;Stunning south-facing light;Modern kitchen with wine cellar;Two large balconies, 40 m2;CHF 7,490.-;CHF 499 / m² / year;
4 rooms ; 104 m² ; Apartment;;1202 Genève;Open kitchen with terrace;Cozy attic bedroom;Close to amenities;CHF 4,420.-;CHF 510 / m² / year;
6.5 rooms ; 183 m² ; Apartment;Avenue de Champel 1; 1205 Genève;Elegant entrance hall;Spacious living room;Gym and cellar included;CHF 7,180.-;CHF 471 / m² / year;
6.5 rooms ; 162 m² ; Apartment;Avenue De France 6; 1202 Genève;Decorative fireplace;Equipped closed kitchen;Balcony access from dining;CHF 6,500.-;CHF 481 / m² / year;
5.5 rooms ; 123 m² ; Apartment;Avenue De La Gare-Des-Eaux-Vives 12; 1207 Genève;Renovated with modern kitchen;Spacious double living room;Balcony access for relaxation;CHF 4,950.-;CHF 483 / m² / year;
6 rooms ; 145 m² ; Apartment;Rue Jean- Calvin 12; 1204 Genève;Spacious 39 m² terrace;Fully equipped kitchen;Quiet, prime location;CHF 7,000.-;CHF 579 / m² / year;
5.5 rooms ;; Apartment;;1209 Genève;Stunning Jura views;Spacious family living;Quiet neighborhood access;CHF 4,585.-;—;
4 rooms ; 135 m² ; Apartment;Rue De Saint-Jean 32a; 1203 Genève;Stunning Rhône view;Spacious, bright living room;Equipped kitchen;CHF 5,240.-;CHF 466 / m² / year;
3 rooms ;; Apartment;;1205 Genève;Cozy balcony for relaxation;All utilities included;Prime location in Plainpalais;CHF 2,100.-;—;
6 rooms ; 120 m² ; Apartment;;1204 Genève;Bright open living area;Modern fully equipped kitchen;Quiet central location;CHF 5,150.-;CHF 515 / m² / year;
1 room ; 19 m² ; Furnished apartment;;1205 Genève;Equipped kitchen space;Close to University;Vibrant neighborhood life;CHF 1,660.-;CHF 1,048 / m² / year;
4.5 rooms ; 125 m² ; Furnished apartment;;1209 Genève;High-end Italian furniture;Spacious 12m2 balcony;Premium Bulthaup kitchen;CHF 7,100.-;CHF 682 / m² / year;
7 rooms ; 197 m² ; Apartment;Rue Voltaire 7; 1201 Genève;High ceilings for spacious feel;Functional fireplaces in living areas;Prime location near transport;CHF 5,600.-;CHF 341 / m² / year;
6 rooms ; 180 m² ; Apartment;;1206 Genève;Indoor swimming pool;Spacious 80 m2 terrace;Stunning city and park views;CHF 7,990.-;CHF 533 / m² / year;
7 rooms ; 180 m² ; Apartment;;1206 Genève;Spacious 180 m² layout;Two sunny loggias;High-end kitchen amenities;CHF 7,770.-;CHF 518 / m² / year;
5 rooms ; 150 m² ; Apartment;;1204 Genève;Close to public transport;Proximity to international orgs;Spacious storage solutions;CHF 4,300.-;CHF 344 / m² / year;
3 rooms ; 55 m² ; Apartment;;1205 Genève;Contemporary building;Secure access with elevator;Close to schools and shops;CHF 2,191.-;CHF 478 / m² / year;
5 rooms ; 165 m² ; Apartment;;1206 Genève;Heart of Florissant;Modern renovations;Spacious living areas;CHF 6,350.-;CHF 462 / m² / year;
2.5 rooms ; 66 m² ; Apartment;;1204 Genève;Stunning lake view;Fully furnished & equipped;Close to public transport;CHF 3,300.-;CHF 600 / m² / year;
3 rooms ; 63 m² ; Apartment;Rue De Lausanne 23; 1201 Genève;Bright living room with parquet;Closed kitchen for privacy;Separate WC for convenience;CHF 2,233.-;CHF 425 / m² / year;
4.5 rooms ; 105 m² ; Apartment;;1203 Genève;Near Rhône River;Includes balcony space;Private parking available;CHF 3,990.-;CHF 456 / m² / year;
4 rooms ; 75 m² ; Apartment;;1203 Genève;Fully furnished & renovated;Quiet location near amenities;Balcony with city views;CHF 3,192.-;CHF 511 / m² / year;
3 rooms ; 65 m² ; Apartment;;1204 Genève;Quiet location in Lignon;Balcony with city views;All utilities included;CHF 2,736.-;CHF 505 / m² / year;
6 rooms ; 105 m² ; Attic flat;Rue Charles- Giron 14; 1203 Genève;Spacious living area;Equipped kitchen with view;Elegant finishes throughout;CHF 4,870.-;CHF 557 / m² / year;
3 rooms ; 79 m² ; Furnished apartment;;1201 Genève;Ready to move in;Modern and stylish;Convenient location;CHF 1,500.-;CHF 228 / m² / year;
8 rooms ; 228 m² ; Apartment;Place Camoletti 6; 1207 Genève;Stunning fountain view;Prime lake location;Spacious, equipped kitchen;CHF 7,500.-;CHF 395 / m² / year;
5 rooms ; 90 m² ; Apartment;;1205 Genève;Spacious 60 m² living area;Modern equipped kitchen;Central location with amenities;CHF 4,300.-;CHF 573 / m² / year;
4 rooms ; 78 m² ; Apartment;;1205 Genève;Open, equipped kitchen;Two bedrooms;Private bathroom;CHF 3,120.-;CHF 480 / m² / year;
4 rooms ; 88 m² ; Apartment;Rue Jean- Jaquet 18; 1201 Genève;Bright and spacious apartment;Near lake and transport;Fully equipped kitchen;CHF 3,040.-;CHF 415 / m² / year;
4 rooms ; 82 m² ; Apartment;Quai Gustave- Ador 60; 1207 Genève;Lake and Jet d'Eau view;Two loggias;Modern equipped kitchen;CHF 4,460.-;CHF 653 / m² / year;
5 rooms ; 146 m² ; Apartment;Rue Giovanni- Gambini 1; 1206 Genève;Mont Salève view;Fully equipped kitchen;Near shops and schools;CHF 6,500.-;CHF 534 / m² / year;
4 rooms ;; Apartment;;1203 Genève;Includes a private box;Washer connection available;Bright and spacious layout;CHF 2,250.-;—;
5 rooms ; 120 m² ; Apartment;Cours De Rive; 1204 Genève;Completely renovated;Open kitchen;Central location;CHF 4,500.-;CHF 450 / m² / year;
3 rooms ;; Furnished apartment;Rue de Saint-Jean; 1203 Genève;Fully furnished and stylish;Sunny south-facing balcony;Quiet courtyard bedroom;CHF 2,650.-;—;
1 room ; 31 m² ; Furnished apartment;Rue De Neuchâtel 16; 1201 Genève;Close to Lake Geneva;Near Cornavin Station;3rd floor with views;CHF 1,550.-;CHF 600 / m² / year;
5 rooms ; 100 m² ; Apartment;;1204 Genève;High ceilings & moldings;Decorative fireplace charm;Prime location near amenities;CHF 4,500.-;CHF 540 / m² / year;
6.5 rooms ; 220 m² ; Apartment;;1201 Genève;Spacious terrace with lake view;Prestigious central location;Functional kitchen for comfort;CHF 12,000.-;CHF 655 / m² / year;
4 rooms ;; Apartment;Avenue De-Budé 12; 1202 Genève;Spacious balcony with view;Close to international offices;Quiet residential area;CHF 3,900.-;—;
5.5 rooms ; 106 m² ; Apartment;Parc Du Château-Banquet 26; 1202 Genève;Stunning lake views;Close to amenities;Spacious 106m2 layout;On request;—;
4 rooms ; 74 m² ; Apartment;Rue Jean- Jaquet; 1201 Genève;Spacious 74 m² layout;Inviting balcony space;Equipped kitchen area;CHF 2,827.-;CHF 458 / m² / year;
5.5 rooms ; 260 m² ; Apartment;;1201 Genève;Stunning Rhône views;Two spacious balconies;Master suite with jacuzzi;CHF 7,500.-;CHF 346 / m² / year;
7 rooms ; 315 m² ; Apartment;;1204 Genève;Stunning city views;High-end finishes;Mezzanine for extra space;CHF 10,000.-;CHF 381 / m² / year;
1.5 rooms ; 29 m² ; Apartment;;1206 Genève;Near Parc Bertrand;Equipped kitchenette;Cozy living area;CHF 1,310.-;CHF 542 / m² / year;
5 rooms ;; Apartment;Cours de Rive; 1204 Genève;Prime city center location;Charming exposed beams;Equipped modern kitchen;CHF 4,500.-;—;
5 rooms ;; Apartment;Cours de Rive; 1204 Genève;Elegant living with balcony;Spacious separate kitchen;Charming parquet flooring;CHF 4,740.-;—;
9 rooms ; 295 m² ; Apartment;Parc Du Château-Banquet 16; 1202 Genève;Stunning Jet d'Eau view;Spacious 295 m2 area;3 sunny balconies;On request;—;
4 rooms ; 120 m² ; Apartment;Rue De La Confédération 6; 1204 Genève;Sunny southwest view;Green view;Near city center;CHF 4,100.-;CHF 410 / m² / year;
6 rooms ;; Single house;;1208 Genève;Spacious private garden;Direct terrace access;Equipped basement area;CHF 5,000.-;—;
8 rooms ; 300 m² ; Apartment;;1201 Genève;Stunning Rhône views;Spacious terrace access;Modern equipped kitchen;CHF 7,000.-;CHF 280 / m² / year;
8.5 rooms ; 240 m² ; Apartment;;1206 Genève;Furnished attic apartment;Panoramic view;Peaceful atmosphere;CHF 16,002.-;CHF 800 / m² / year;
4.5 rooms ; 100 m² ; Apartment;Rue John- Rehfous; 1208 Genève;Bright and airy living space;Located in a quiet area;Close to shops and transport;CHF 4,000.-;CHF 480 / m² / year;
